measure_id,measure_name,location_id,location_name,country_id,sex_id,sex_name,age_group_id,age_group_name,year_id,rei_id,pathogen,categoria,metric_id,metric,value,lower,upper
6,Incidence,23,Kiribati,KIR,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000392218,0.000199499,0.000648013
1,Deaths,47,Czechia,CZE,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.00039251,0.00014561,0.000846647
1,Deaths,47,Czechia,CZE,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.00039251,0.00014561,0.000846647
6,Incidence,121,Bolivia (Plurinational State of),BOL,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000392706,9.02E-05,0.000963374
1,Deaths,367,Monaco,MCO,3,Both,1,Under 5,2021,415,Chlamydia spp,,1,Number,0.000393516,0.000289325,0.000528965
1,Deaths,112,Grenada,GRD,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,1,Number,0.000394867,0.000110591,0.001828526
6,Incidence,71,Australia,AUS,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000394988,0.000107443,0.000908408
6,Incidence,71,Australia,AUS,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000394988,0.000107443,0.000908408
1,Deaths,186,Seychelles,SYC,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.00039514,0.000196493,0.000674145
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2020,421,Legionella spp,,1,Number,0.000396012,0.000293032,0.00051953
1,Deaths,369,Nauru,NRU,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000397264,0.00020105,0.000673933
1,Deaths,95,United Kingdom,GBR,3,Both,23,5-14 years,1990,426,Polymicrobial,,2,Percent,0.000397331,0.000237352,0.000648127
1,Deaths,126,Costa Rica,CRI,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,0.000397509,0.000121023,0.000846393
1,Deaths,38,Mongolia,MNG,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000397672,2.45E-05,0.001598083
1,Deaths,38,Mongolia,MNG,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000397672,2.45E-05,0.001598083
1,Deaths,380,Palau,PLW,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000397725,0.000195916,0.000671963
6,Incidence,81,Germany,DEU,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000397982,0.000133149,0.000933239
1,Deaths,396,San Marino,SMR,3,Both,24,15-49 years,2019,414,Acinetobacter baumannii,,1,Number,0.000398435,0.00029214,0.000523949
1,Deaths,106,Bahamas,BHS,3,Both,23,5-14 years,2021,187,Influenza,,1,Number,0.000399528,0.000102691,0.001901654
6,Incidence,26,Papua New Guinea,PNG,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000401535,0.000203548,0.000660027
